COMMONNAME,Minimum age at encounter,Banding date,Banding region,Age at banding,Sex,Encounter date,Encounter region,How bird and band were obtained,Condition of bird/band at encounter
Wood Duck,13 years 04 months,8/3/1964,Illinois,Hatching Year,Male,10/2/1977,Wisconsin,Shot.,Dead/Removed
Gadwall,19 years 06 months,8/8/1962,Saskatchewan,Local,Male,12/29/1981,Louisiana,Shot.,Dead/Removed
Gadwall,17 years 08 months,8/4/1952,Saskatchewan,Juvenile,Male,2/28/1970,Mexico,Shot.,Dead/Unknown
Eurasian Wigeon,10 years 07 months,3/10/2007,California,After Second Year,Male,1/9/2016,California,Shot.,Dead/Removed
Eurasian Wigeon,8 years 07 months,1/21/1975,California,After Hatching Year,Male,1/15/1983,British Columbia,Shot.,Dead/Unknown
Eurasian Wigeon,8 years 00 months,1/14/1966,Oregon,Unknown,Male,1/9/1974,Oregon,Shot.,Dead/Removed
American Wigeon,21 years 04 months,11/24/1952,Washington,Unknown,Male,10/28/1973,Nebraska,Shot.,Dead/Removed
American Wigeon,15 years 05 months,2/4/1962,California,After Hatching Year,Male,11/99/1976,California,Shot.,Dead/Removed
American Black Duck,26 years 05 months,11/17/1952,Pennsylvania,Unknown,Male,11/8/1978,Delaware,Shot.,Dead/Removed
American Black Duck,26 years 04 months,8/18/1960,Québec,Hatching Year,Female,10/27/1986,Québec,Found dead.,Dead/Removed
American Black Duck,24 years 09 months,3/19/1956,Maryland,Unknown,Male,12/41/1980,New York,Shot.,Dead/Removed
American Black Duck,22 years 05 months,11/14/1948,Pennsylvania,Hatching Year,Male,11/23/1970,Alabama,Shot.,Dead/Removed
Mallard,27 years 07 months,1/9/1981,Louisiana,After Hatching Year,Male,1/17/2008,Arkansas,Shot.,Dead/Removed
Mallard,26 years 04 months,1/8/1973,Michigan,After Hatching Year,Male,10/10/1998,Michigan,Shot.,Dead/Removed
Mallard,23 years 05 months,12/14/1948,Oregon,After Hatching Year,Male,11/28/1970,Oregon,Shot.,Dead/Removed
Mallard,21 years 03 months,12/10/1955,Illinois,Unknown,Male,93/99/1976,Saskatchewan,Shot.,Dead/Removed
Mallard,17 years 07 months,9/4/1960,Michigan,Hatching Year,Female,1/17/1978,South Carolina,Shot.,Dead/Removed
Mallard,13 years 09 months,1/10/1964,Idaho,Unknown,Male,10/4/1977,Idaho,Shot.,Dead/Removed
Mottled Duck,13 years 07 months,7/9/1997,Florida,Local,Male,1/8/2011,Florida,Shot.,Dead/Removed
Mottled Duck,13 years 05 months,8/6/1963,Texas,After Hatching Year,Male,11/30/1975,Texas,Shot.,Dead/Unknown
Mexican Duck,5 years 06 months,9/10/1968,New Mexico,Hatching Year,Male,12/9/1973,New Mexico,Shot.,Dead/Removed
Hawaiian Duck,3 years 08 months,4/17/1979,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,2/15/1982,"Oceania (including Hawaii), Australia, New Zealand and Phillipines","Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Laysan Duck,11 years 10 months,9/22/1967,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Hatching Year,Female,4/21/1979,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Laysan Duck,11 years 03 months,5/29/1958,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,9/10/1968,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blue-winged Teal,23 years 03 months,8/8/1983,Saskatchewan,After Hatching Year,Male,94/99/2005,Cuba,Shot.,Dead/Removed
Blue-winged Teal,22 years 04 months,9/6/1960,Vermont,Hatching Year,Female,10/30/1982,Québec,Shot.,Dead/Removed
Blue-winged Teal,21 years 11 months,8/18/1964,Manitoba,Hatching Year,Male,5/9/1986,Mexico,Shot.,Dead/Removed
Blue-winged Teal,21 years 03 months,7/18/1961,Alberta,After Hatching Year,Male,93/99/1981,Ontario,Shot.,Dead/Removed
Blue-winged Teal,17 years 05 months,7/28/1955,Nebraska,Local,Male,11/11/1972,Louisiana,Shot.,Dead/Unknown
Blue-winged Teal,16 years 09 months,7/17/1963,Nebraska,Local,Male,3/3/1980,Mexico,Shot.,Dead/Unknown
Blue-winged Teal,16 years 06 months,8/22/1964,Saskatchewan,After Hatching Year,Male,12/1/1979,Mexico,Shot.,Dead/Removed
Blue-winged Teal,16 years 04 months,7/10/1958,Manitoba,Local,Female,10/99/1974,Minnesota,Shot.,Dead/Removed
Blue-winged Teal,14 years 03 months,4/27/1959,Missouri,After Hatching Year,Male,9/11/1972,Kansas,Shot.,Dead/Removed
Blue-winged Teal,8 years 04 months,7/30/1970,Minnesota,Local,Female,10/9/1978,Minnesota,Shot.,Dead/Removed
Blue-winged Teal,7 years 04 months,8/10/1973,Saskatchewan,After Hatching Year,Male,10/4/1979,Cuba,Shot.,Dead/Unknown
Cinnamon Teal,10 years 06 months,7/20/2001,California,After Hatching Year,Female,12/20/2010,California,Shot.,Dead/Removed
Northern Shoveler,16 years 07 months,10/8/1952,Nevada,Hatching Year,Male,01/99/1969,California,Shot.,Dead/Removed
White-cheeked Pintail,6 years 03 months,6/6/1996,Puerto Rico,Hatching Year,Female,94/99/2002,Puerto Rico,Shot.,Dead/Removed
Northern Pintail,22 years 03 months,8/2/1972,Saskatchewan,Hatching Year,Male,94/99/1994,Saskatchewan,Shot.,Dead/Unknown
Northern Pintail,21 years 04 months,8/25/1960,California,After Hatching Year,Male,10/22/1980,Idaho,Shot.,Dead/Removed
Northern Pintail,20 years 06 months,8/15/1959,California,After Hatching Year,Male,12/31/1978,California,Shot.,Dead/Removed
Northern Pintail,20 years 06 months,11/28/1940,California,Unknown,Male,12/99/1960,California,Shot.,Dead/Unknown
Northern Pintail,19 years 03 months,7/9/1952,Alberta,After Hatching Year,Male,94/99/1970,California,Shot.,Dead/Unknown
Northern Pintail,14 years 02 months,8/17/1964,Manitoba,After Hatching Year,Male,08/99/1977,Mexico,Shot.,Dead/Removed
Green-winged Teal,20 years 03 months,3/15/1941,Oklahoma,After Hatching Year,Female,94/99/1960,Missouri,Shot.,Dead/Unknown
Canvasback,22 years 07 months,3/1/1969,California,After Hatching Year,Male,1/5/1991,California,Shot.,Dead/Unknown
Canvasback,22 years 05 months,2/13/1964,New York,Second Year,Male,11/2/1985,Ohio,Shot.,Dead/Removed
Canvasback,18 years 06 months,2/1/1970,California,After Hatching Year,Male,12/5/1987,California,Shot.,Dead/Left On Bird
Canvasback,17 years 07 months,7/18/1967,North Dakota,Local,Male,1/29/1985,New Jersey,Found dead.,Dead/Removed
Canvasback,17 years 01 months,1/18/1957,New York,Unknown,Male,2/23/1974,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Canvasback,15 years 09 months,3/15/1963,Maryland,Unknown,Male,12/28/1978,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Canvasback,14 years 08 months,1/12/1959,California,After Hatching Year,Male,2/28/1973,Mexico,Shot.,Alive - In Captivity/Removed
Redhead,20 years 07 months,9/14/1976,Minnesota,Hatching Year,Male,1/4/1997,Texas,Shot.,Dead/Removed
Redhead,16 years 11 months,3/21/1956,New York,Unknown,Male,2/14/1973,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Ring-necked Duck,20 years 05 months,11/20/1964,Louisiana,After Hatching Year,Male,11/16/1983,Minnesota,Shot.,Dead/Removed
Greater Scaup,20 years 05 months,1/9/1988,New York,After Hatching Year,Male,11/23/2007,Michigan,Shot.,Dead/Removed
Greater Scaup,17 years 07 months,7/30/1953,Alaska,Local,Male,1/3/1971,New York,Shot.,Dead/Removed
Greater Scaup,15 years 07 months,1/13/1962,New York,Second Year,Male,1/1/1977,New York,Shot.,Dead/Unknown
Lesser Scaup,17 years 07 months,3/10/1956,Maryland,Unknown,Male,10/3/1973,Wisconsin,Shot.,Dead/Removed
Steller's Eider,23 years 00 months,9/12/1975,Alaska,After Hatching Year,Female,06/99/1997,Russia,Shot.,Dead/Unknown
Steller's Eider,14 years 03 months,9/13/1968,Alaska,After Hatching Year,Female,9/12/1981,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Steller's Eider,12 years 03 months,9/5/1961,Alaska,After Hatching Year,Male,09/99/1972,Russia,Shot.,Dead/Removed
Spectacled Eider,18 years 00 months,8/2/1992,Alaska,After Hatching Year,Female,6/18/2009,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Spectacled Eider,12 years 11 months,7/30/1994,Alaska,After Second Year,Female,5/6/2005,Alaska,Found dead.,Dead/Removed
Spectacled Eider,7 years 00 months,6/28/1998,Alaska,After Hatching Year,Female,6/3/2004,Alaska,Found dead.,Dead/Removed
Spectacled Eider,6 years 00 months,8/14/1995,Alaska,Local,Female,6/1/2001,Russia,Shot.,Dead/Unknown
King Eider,22 years 01 months,7/18/1995,Nunavut,After Second Year,Female,7/10/2015,Nunavut,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
King Eider,18 years 11 months,6/29/1940,Alaska,After Hatching Year,Female,5/22/1958,Alaska,Shot.,Dead/Removed
Common Eider,22 years 07 months,6/10/1983,Newfoundland and Labrador and St. Pierre et Miquelon,After Hatching Year,Male,1/3/2005,Newfoundland and Labrador and St. Pierre et Miquelon,Shot.,Dead/Removed
Common Eider,22 years 03 months,8/25/1973,Maine,Local,Female,10/27/1995,Maine,Shot.,Dead/Removed
Common Eider,21 years 04 months,6/2/1967,Québec,After Hatching Year,Female,10/17/1987,Québec,Shot.,Dead/Removed
Common Eider,16 years 00 months,6/27/1969,Québec,After Hatching Year,Female,6/5/1984,Québec,"Caught at, on or in nest by predator.",Dead/Removed
Common Eider,14 years 10 months,3/1/1967,Massachusetts,After Hatching Year,Female,4/10/1981,Québec,Shot.,Dead/Removed
Common Eider,13 years 06 months,6/27/1967,Québec,After Hatching Year,Female,12/22/1979,Maine,Shot.,Dead/Removed
Common Eider,12 years 04 months,5/23/1966,Québec,After Hatching Year,Female,10/6/1977,Québec,Shot.,Dead/Removed
Common Eider,12 years 04 months,3/1/1967,Massachusetts,After Hatching Year,Female,10/21/1978,Maine,Shot.,Dead/Removed
Common Eider,11 years 00 months,7/1/1961,Québec,After Hatching Year,Female,6/29/1971,Québec,Caught or observed at or in nest.,Alive - Released/Left On Bird
Harlequin Duck,20 years 9 months,5/7/1995,Alberta,After Second Year,Male,3/14/2014,British Columbia,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Harlequin Duck,18 years 10 months,8/16/1996,British Columbia,Third Year,Male,4/1/2013,British Columbia,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Harlequin Duck,18 years 03 months,8/23/1997,British Columbia,After Third Year,Male,9/8/2012,British Columbia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Harlequin Duck,14 years 07 months,7/26/1994,British Columbia,After Third Year,Male,1/18/2006,Washington,Shot.,Dead/Left On Bird
Harlequin Duck,11 years 02 months,8/13/1996,Alaska,Third Year,Male,8/13/2005,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Harlequin Duck,10 years 06 months,8/1/1994,Washington,After Hatching Year,Male,12/18/2003,Washington,Shot.,Dead/Left On Bird
Harlequin Duck,10 years 06 months,7/26/1994,British Columbia,After Third Year,Male,12/11/2001,Washington,Shot.,Dead/Unknown
Harlequin Duck,8 years 05 months,8/28/1995,Alaska,After Third Year,Female,11/14/2000,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Harlequin Duck,8 years 02 months,7/31/1993,British Columbia,After Third Year,Male,8/17/1998,British Columbia,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Harlequin Duck,5 years 09 months,7/31/1993,British Columbia,After Third Year,Male,3/31/1996,Washington,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Harlequin Duck,4 years 06 months,8/1/1994,Washington,After Hatching Year,Male,12/6/1997,Washington,Shot.,Dead/Removed
Harlequin Duck,4 years 02 months,5/10/1994,Oregon,After Hatching Year,Female,8/7/1997,Oregon,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Surf Scoter,12 years 05 months,8/16/2004,Newfoundland and Labrador and St. Pierre et Miquelon,After Hatching Year,Male,11/28/2015,Maryland,Shot.,Dead/Left On Bird
Surf Scoter,11 years 07 months,8/16/2004,Newfoundland and Labrador and St. Pierre et Miquelon,After Hatching Year,Male,1/1/2015,Maryland,Shot.,Dead/Removed
Surf Scoter,11 years 06 months,8/16/2004,Newfoundland and Labrador and St. Pierre et Miquelon,After Hatching Year,Male,12/31/2014,North Carolina,Shot.,Dead/Left On Bird
Surf Scoter,10 years 04 months,8/16/2004,Newfoundland and Labrador and St. Pierre et Miquelon,After Hatching Year,Male,10/8/2013,Nova Scotia,Shot.,Dead/Removed
Surf Scoter,9 years 06 months,3/17/2004,British Columbia,After Third Year,Male,12/10/2010,Washington,Shot.,Dead/Removed
Surf Scoter,9 years 05 months,12/1/2003,Washington,After Third Year,Male,11/15/2009,Washington,Shot.,Dead/Left On Bird
Surf Scoter,7 years 11 months,12/22/1993,Washington,After Hatching Year,Female,05/99/2000,Northwest Territories,Shot.,Dead/Removed
White-winged Scoter,18 years 01 months,7/12/1969,Saskatchewan,After Second Year,Female,7/1/1985,Saskatchewan,Caught or observed at or in nest.,Alive - Released/Left On Bird
White-winged Scoter,15 years 07 months,7/16/1967,Saskatchewan,After Second Year,Female,1/22/1981,British Columbia,Found dead.,Dead/Unknown
White-winged Scoter,11 years 08 months,8/2/1961,Saskatchewan,Local,Female,02/99/1973,California,Found dead.,Dead/Unknown
Black Scoter,10 years 06 months,3/9/2005,Alaska,Second Year,Male,12/25/2014,Alaska,Shot.,Dead/Removed
Black Scoter,10 years 04 months,2/19/2003,Alaska,After Second Year,Female,10/29/2011,Alaska,Shot.,Dead/Removed
Black Scoter,7 years 06 months,2/17/2001,Alaska,After Hatching Year,Male,12/13/2007,Alaska,Shot.,Dead/Unknown
Black Scoter,7 years 05 months,3/3/2004,Alaska,After Third Year,Male,11/16/2008,Alaska,Shot.,Dead/Removed
Black Scoter,5 years 06 months,3/7/2004,Alaska,After Second Year,Male,12/1/2007,Alaska,Shot.,Dead/Unknown
Long-tailed Duck,17 years 01 months,6/29/1998,Alaska,After Hatching Year,Female,7/13/2014,Alaska,Found dead.,Dead/Removed
Long-tailed Duck,15 years 07 months,7/24/1973,Nunavut,After Hatching Year,Female,1/17/1988,Newfoundland and Labrador and St. Pierre et Miquelon,Shot.,Dead/Removed
Long-tailed Duck,12 years 00 months,8/8/1964,Alaska,After Hatching Year,Male,6/8/1975,Russia,Shot.,Dead/Removed
Bufflehead,18 years 08 months,2/13/1975,New York,Second Year,Male,2/2/1993,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Bufflehead,14 years 07 months,3/10/1977,Maryland,Second Year,Male,1/4/1991,Maryland,Shot.,Dead/Removed
Bufflehead,12 years 06 months,2/5/1958,New York,Second Year,Male,12/27/1969,New Jersey,Shot.,Dead/Unknown
Bufflehead,12 years 06 months,3/18/1956,Maryland,Second Year,Male,12/9/1967,Maryland,Shot.,Dead/Unknown
Common Goldeneye,20 years 05 months,7/9/1992,Minnesota,Local,Male,11/30/2012,Wisconsin,Shot.,Dead/Removed
Common Goldeneye,18 years 05 months,7/12/1984,Minnesota,Local,Male,11/2/2002,Wisconsin,Shot.,Dead/Removed
Common Goldeneye,15 years 05 months,6/2/1977,Ontario,After Second Year,Female,11/10/1990,Ontario,Shot.,Dead/Unknown
Common Goldeneye,14 years 03 months,7/21/1942,Saskatchewan,Juvenile,Unknown,94/99/1956,Saskatchewan,Shot.,Dead/Unknown
Barrow's Goldeneye,15 years 04 months,7/23/1965,Alaska,After Hatching Year,Male,10/7/1979,Alaska,Shot.,Dead/Removed
Hooded Merganser,14 years 06 months,8/14/1995,Minnesota,Local,Male,12/99/2009,Mississippi,Shot.,Dead/Removed
Hooded Merganser,11 years 03 months,9/19/1966,Nova Scotia,Hatching Year,Female,94/99/1977,Nova Scotia,Shot.,Dead/Removed
Hooded Merganser,10 years 05 months,6/16/1964,Oregon,After Hatching Year,Female,11/10/1973,California,Shot.,Dead/Removed
Common Merganser,13 years 05 months,12/13/1938,Oklahoma,After Hatching Year,Female,11/8/1950,Wisconsin,Shot.,Dead/Removed
Red-breasted Merganser,11 years 01 months,7/20/2005,New Brunswick,After Second Year,Female,7/15/2014,New Brunswick,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-breasted Merganser,9 years 06 months,2/1/2007,Alaska,After Second Year,Female,12/4/2014,Alaska,Shot.,Dead/Removed
Red-breasted Merganser,9 years 01 months,7/31/1999,New Brunswick,After Hatching Year,Female,7/23/2007,New Brunswick,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
